title,address,city,state,postal_code,price,facts and features,real estate provider,url
House for sale,5610 Golden Gate Ave,Oakland,CA,94618,"$2,195,000 ","3 bds, 3.0 ba ,2735 sqft",,https://www.zillow.com/homedetails/5610-Golden-Gate-Ave-Oakland-CA-94618/68030023_zpid/
Multi-family home for sale,5621 Ocean View Dr,Oakland,CA,94618,"$1,995,000 ","5 bds, 4.0 ba ,2558 sqft",,https://www.zillow.com/homedetails/5621-Ocean-View-Dr-Oakland-CA-94618/24753627_zpid/
Condo for sale,5343 Broadway Ter #405,Oakland,CA,94618,"$699,000 ","2 bds, 2.0 ba ,968 sqft",,https://www.zillow.com/homedetails/5343-Broadway-Ter-405-Oakland-CA-94618/2069780018_zpid/
House for sale,5909 Keith Ave,Oakland,CA,94618,"$1,699,000 ","4 bds, 2.0 ba ,2056 sqft",,https://www.zillow.com/homedetails/5909-Keith-Ave-Oakland-CA-94618/24810651_zpid/
House for sale,6218 Manoa St,Oakland,CA,94618,"$1,595,000 ","3 bds, 2.0 ba ,1836 sqft",,https://www.zillow.com/homedetails/6218-Manoa-St-Oakland-CA-94618/24810976_zpid/
House for sale,401 Cavour St,Oakland,CA,94618,"$1,295,000 ","2 bds, 1.0 ba ,1417 sqft",,https://www.zillow.com/homedetails/401-Cavour-St-Oakland-CA-94618/299065219_zpid/
Condo for sale,300 Caldecott Ln UNIT 107,Oakland,CA,94618,"$499,000 ","1 bds, 1.0 ba ,773 sqft",,https://www.zillow.com/homedetails/300-Caldecott-Ln-UNIT-107-Oakland-CA-94618/24819684_zpid/
Lot / Land for sale,0 Roble Rd,Oakland,CA,94618,"$689,000 ","None bds, None ba ,None sqft",,https://www.zillow.com/homedetails/0-Roble-Rd-Oakland-CA-94618/2070814244_zpid/
House for sale,5340 Shafter Ave,Oakland,CA,94618,"$1,495,000 ","4 bds, 2.0 ba ,1650 sqft",,https://www.zillow.com/homedetails/5340-Shafter-Ave-Oakland-CA-94618/24753300_zpid/
Multi-family home for sale,5332 Broadway,Oakland,CA,94618,"$1,195,000 ","None bds, None ba ,1592 sqft",,https://www.zillow.com/homedetails/5332-Broadway-Oakland-CA-94618/2067850120_zpid/
Multi-family home for sale,5315 College Ave,Oakland,CA,94618,"$1,195,000 ","None bds, None ba ,987 sqft",,https://www.zillow.com/homedetails/5315-College-Ave-Oakland-CA-94618/2067860446_zpid/
Condo for sale,240 Caldecott Ln UNIT 212,Oakland,CA,94618,"$478,000 ","1 bds, 1.0 ba ,773 sqft",,https://www.zillow.com/homedetails/240-Caldecott-Ln-UNIT-212-Oakland-CA-94618/24819530_zpid/
House for sale,5330 Broadway,Oakland,CA,94618,"$1,195,000 ","3 bds, 2.0 ba ,1592 sqft",,https://www.zillow.com/homedetails/5330-Broadway-Oakland-CA-94618/24810188_zpid/
Lot / Land for sale,7333 Chabot Rd,Oakland,CA,94618,"$775,000 ","None bds, None ba ,None sqft",,https://www.zillow.com/homedetails/7333-Chabot-Rd-Oakland-CA-94618/299071098_zpid/
Lot / Land for sale,0 Florence Ave,Oakland,CA,94618,"$128,000 ","None bds, None ba ,None sqft",,https://www.zillow.com/homedetails/0-Florence-Ave-Oakland-CA-94618/2073663604_zpid/
House for sale,6135 Broadway,Oakland,CA,94618,"$1,599,000 ","4 bds, 4.0 ba ,2800 sqft",,https://www.zillow.com/homedetails/6135-Broadway-Oakland-CA-94618/61173828_zpid/
Multi-family home for sale,341 Alcatraz Ave,Oakland,CA,94618,"$1,895,000 ","6 bds, 5.0 ba ,3610 sqft",,https://www.zillow.com/homedetails/341-Alcatraz-Ave-Oakland-CA-94618/24756457_zpid/